,chunk_label,chunk_text,uuid
0,introduction0,"Poor diet and obesity are global epidemics that present a significant challenge for public health and the prevention of chronic disease.1 In the United Kingdom (UK), diet is the leading behavioral contributor to disease burden,2 with poor diet quality associated with an increased risk of cardiovascular disease,3 diabetes,4 certain types of cancer,5 and other chronic conditions, such as overweight and obesity.6 Obesity (a BMI ≥30kg/m2) in particular is considered a global epidemic with a doubling of prevalence worldwide since 1980, reaching approximately 600 million adults as of 2014.7 In the UK, approximately 26% of men (up from 13.2% in 1993) and 23.8% of women (up from 16.4%) are living with obesity.8  Dietary risk factors for obesity and chronic disease include a low intake of fruits and vegetables, whole grains, low-fat milk, fiber, nuts, and seeds, and high intake of red and processed meat, sugar, and sodium9; these poor dietary patterns are common in the UK population.",caafb867-2522-475b-ab43-6c0369338061
1,introduction1,"2 In comparison, diets rich in fruits and vegetables and low-fat dairy products, and relatively low in fats and sugars, are consistent with dietary patterns that are protective against disease risk.9 Many characterizations of diet quality are relevant for understanding dietary risk for chronic disease, such as the Healthy Eating Index, Alternative Healthy Eating Index, and the Mediterranean Diet Score.10 In addition, the Dietary Approaches to Stop Hypertension (Dietary Approaches to Stop Hypertension (DASH)) dietary pattern provides strong experimental evidence that adherence can improve health outcomes. Randomized trials showed that adherence to a Dietary Approaches to Stop Hypertension (DASH) diet can markedly reduce blood pressure,11, 12 whereas observational studies showed that Dietary Approaches to Stop Hypertension (DASH)-accordant diets were associated with reduced weight gain,13 lower incidence of stroke,14 and a reduced risk of type 2 diabetes.",83d46879-b7b1-4728-bfa3-c45659f9d7a3
2,introduction2,"15 Therefore, the Dietary Approaches to Stop Hypertension (DASH) dietary pattern is the focus of this study.  Improving overall diet quality within the population requires understanding a complex set of determinants.16 One factor that may adversely affect diet quality and promote obesity at the population level is a reliance on eating away from home. Over the past few decades, frequency of meals consumed away from home has been increasing,17 accounting for a growing proportion of daily energy intake across all age groups.18, 19, 20 Systematic reviews have suggested that greater frequency of eating away from home is associated with poorer nutrient and dietary intake21 and increased adiposity and weight gain,22 possibly due to the large portions of energy-dense foods available in different food establishments.23 However, away-from-home food establishments represent a diverse set of food services, some focusing on slow or fast service and catering to different consumer preferences.",25a33af6-1fb8-4f2f-b224-bdd88d3fbcbc
3,introduction3,"24 Much of the evidence to date treats this collection of away-from-home food establishments as homogeneous in their association with poor diet or health,25, 26, 27, 28 often employing retrospective measurement unable to explore differential associations between use and diet quality.29, 30, 31 Moreover, many studies of dietary outcomes focus on individual nutrients (e.g., fat, cholesterol, sodium),21, 32 or foods (e.g., meat, takeaway, fruits, and vegetables)33 rather than measures of overall diet quality.  The aim of this work is to employ a prospective assessment of energy intake from all away-from-home food establishments, and restaurants, fast-food outlets, and cafés specifically, to examine independent association(s) with overall diet quality and obesity. ",576c3528-ebdf-4239-8260-7a1605ce787c
4,methods0,"Study Sample This work was a cross-sectional analysis of nationally representative dietary surveillance data for adults aged ≥19 years from the UK.  Adults (N=2,083) aged ≥19 years from Year 1 to 4 (2008 to 2012) of the UK National Diet and Nutrition Survey (National Diet and Nutrition Survey (NDNS)) rolling program were used (February 2015 release).34 National Diet and Nutrition Survey (NDNS) is a yearly cross-sectional survey collecting information on the food consumption, nutrient intake, and nutritional and health status of individuals living in the UK. Sampling, recruitment, and data collection methods are constant from year to year to allow data to be combined across survey years. A detailed description of the multi-stage stratified random sampling procedure and design has been reported elsewhere.",f7f3e7ca-0294-4f78-9672-9cec58867c80
5,methods1,"9 In short, sampling for each wave was based on the random selection of postcode sectors across the UK, followed by the selection of households, and lastly the selection of households with up to one adult and one child (Appendix, available online). Data collection involved a researcher interview collecting sociodemographic variables, the completion of a 4-day food diary, and a nurse visit including measurement of height and weight.  Overall, 91% of households eligible for inclusion agreed to take part in Waves 1–4 of National Diet and Nutrition Survey (NDNS). Usable food diaries (3 or 4 days completed) were collected from at least one household member in 58% of eligible households. At the individual level, 56% of those selected to take part completed usable food diaries, including 2,083 adults.9 National Diet and Nutrition Survey (NDNS) was approved by Oxfordshire Research Ethics Committee and written informed consent was obtained from all participants.",c68bc46b-f8cf-413b-9051-24513ad20d36
6,methods2,"9  Measures At the initial interviewer visit, participants were given instructions to record all food and beverages consumed in and out of the home over 3 or 4 consecutive days using unweighed food diaries. Portion sizes were estimated using household measure and weights from food package labels obtained online, by purchase, or from participants. At the final interviewer visit, the food diaries were checked for missing information and further detail was added before being returned to the Medical Research Council–Human Nutrition Research site for coding. The diaries were coded by trained assistants using the in-house dietary assessment software, Diet In Nutrients Out, with nutrient values provided by the UK National Diet and Nutrition Survey (NDNS) Nutrient Databank.",d49b6faf-55d3-4796-b749-1db46c305c0f
7,methods3,"35  Regarding food establishment identification, the National Diet and Nutrition Survey (NDNS) applied a form of ecological momentary assessment to collect reports on eating events in real-time throughout the daily lives of participants to reduce recall bias.36 Within the 4-day food diary, each recording day was divided into seven timeslots (6:00am–9:00am, 9:00am–12:00pm, 12:00pm–2:00pm, 2:00pm–5:00pm, 5:00pm–8:00pm, 8:00pm–10:00pm, and 10:00pm–6:00am). In each timeslot, participants could report multiple food items and the location where each food was consumed. Food establishment classification was done by National Diet and Nutrition Survey (NDNS) using Diet In Nutrients Out and a set of classification criteria (Appendix, available online).",5b8453f6-fa0b-43ef-ae68-577a8fc940b7
8,methods4," The authors used the pre-existing categories for three away-from-home food establishments—“restaurants, pubs, and night clubs,” “fast-food and takeaway,” and “cafés and sandwich shops”—and collapsed all remaining categories into “other” away-from-home locations and “home.” Eating occasions were defined as a group of food items consumed by a participant within a single sitting37 on the same diary day, within the same timeslot, and at the same location classification (Appendix, available online).  The proportion of total energy intake (kJ) from all locations was calculated. Exposures included three away-from-home food establishments—“sit-down restaurants,” “fast-rood outlets,” and “cafés”—and “other” locations away from the home with corresponding total energy intake for each participant. Proportion of energy intake was then calculated for all categories (energy intake within category/total energy intake), and then converted into levels of exposure.",a13fb204-b040-45b4-9bbd-d04774543e7f
9,methods5," Tertiles (low, middle, high) were used for the total combined “away-from-home” (i.e., food establishment and other locations) exposure. Food establishment subcategories were dichotomized to provide an indicator of participant use (none, any) for “restaurants, pubs, and night clubs,” “fast-food and takeaway,” and “cafés and sandwich shops.”  Overall diet quality was assessed by quantifying accordance to the Dietary Approaches to Stop Hypertension (DASH) dietary pattern using an established index.14, 38 The score is based on consumption of eight food groups and nutrients including fruits, vegetables, nuts and legumes, whole grains, low-fat dairy, red and processed meats, non-milk extrinsic sugars, and sodium, adjusted for energy using the residual method.",6469eb44-e0c2-420d-a45a-2e197677bd27
10,methods6,"39 The eight Dietary Approaches to Stop Hypertension (DASH) food groups and associated scoring are presented and described in the Appendix (available online) with additional details on assessing accordance to Dietary Approaches to Stop Hypertension (DASH) (i.e., the highest quintile). This characterization has been used previously in epidemiologic studies of the Dietary Approaches to Stop Hypertension (DASH) diet in relation to cardiovascular disease and colorectal cancer.38, 40  Trained interviewers collected measurements of height and weight during participant nurse visits. Participants were measured in minimal clothing and without shoes. BMI was calculated from measured height and weight and categorized as obese (BMI ≥30 kg/m2) or not.41  Self-report survey questions were used to assess demographic factors including age (continuous) and sex. SES was represented using one indicator that was found to be patterned by both exposure and outcome variables.",e0ce8692-ccbe-499d-8334-52c7944a0d64
11,methods7," Total household income was equivalized for household composition and categorized as “£14,999 or below,” “£15,000–£24,999,” “£25,000–£34,999,” “£35,000–£49,999,” and “£50,000 and above.” Smoking status was categorized as “current smoker,” “ex-regular smoker” or “never regular smoker.” Survey year was categorized based on study year (1 to 4). Missing covariate values were also examined across all exposure variables, with no significant differences in percentages across exposure levels, then categorized for each variable and included in appropriate models to avoid case deletion (i.e., missing indicator approach).42  Statistical Analysis Descriptive statistics were used to summarize demographic, socioeconomic, behavioral, diet, health, and eating occasion variables across all away-from-home locations and specific food establishment exposures.",84cf7282-426d-4db0-b53e-1d9d359e9a34
12,methods8," Study weights, prepared by National Diet and Nutrition Survey (NDNS) and provided with the data, were used to account for participant nonresponse; therefore weighted mean percentages (with 95% CIs) are presented rather than raw frequencies.  Binary logistic regressions were used to evaluate Dietary Approaches to Stop Hypertension (DASH) accordance and obesity status by tertile of proportion of energy intake consumed away from home (Model 1). These models were then adjusted for demographic variables (age and sex) and other covariates (total energy [kJ], survey year, and smoking status [for obesity outcome only]) (Model 2), followed by socioeconomic status (income) (Model 3).",04c20dde-91ff-4ec9-9f0a-d46ed90bcb25
