,chunk_label,chunk_text,uuid
0,methods0," Mice  C57BL/6J mice were purchased from Vital River Laboratory Animal Technology Co., Ltd. To generate adipose tissue-specific pregnancy zone protein (PZP) transgenic (pregnancy zone protein (PZP) TG) mice, the DNA fragment of the adipose-specific promoter/enhancer from the adiponectin gene together with the pregnancy zone protein (PZP)-coding sequence was guided into C57BL/6J mice via a shotgun method at the Institute of Zoology, Chinese Academy of Sciences. pregnancy zone protein (PZP) TG-positive mice were mated with wild-type (WT) mice to generate pregnancy zone protein (PZP) TG and littermate WT control mice. The mice were housed in an SPF laboratory animal-house (Institute of Zoology of Beijing, Chinese Academy of Sciences, China) at room temperature (24°C) with a 12-h light/dark cycle. The high-fat diet (high fat diet (HFD)) comprises 60% fat, 20% kcal from carbohydrates, and 20% from protein (MD12033, Medicience).",4a38a9c9-3a9e-4704-b12b-8bf7074dc7c2
1,methods1," All animal studies were approved by the Institutional Animal Care and Use Committee of the Institute of Zoology, Chinese Academy of Sciences.  Intermittent Fasting Regimen  We used a 1:3 diet regimen as in our previous study. In a whole intermittent fasting regimen (IFR) cycle, the mice were food deprived for 1 day and then re-fed for 3 days. This regimen provided the mice with sufficient time to compensate for the reduced amount of food intake after 1-day fasting. No difference in cumulative food intake between the intermittent fasting regimen (IFR) group and normal diet group enabled us to examine the effects of intermittent fasting regimen (IFR), independent of caloric intake difference.  Body Composition Measurements  The total fat and lean mass of mice were measured by the Small Animal Body Composition Analysis and Imaging System (MesoQMR 23 060H-I; Nuimag Corp., Shanghai, China), according to the manufacturer’s instructions .",abdb2603-8c1b-4f4a-b73f-a1184c8424ec
2,methods2,"  Metabolic Rate and Physical Activity  Oxygen consumption was measured when mice were fed upon high fat diet (HFD) for 2 weeks without a difference in body weights. Mice were acclimated to the system, maintained at 24°C in a 12-h light/dark cycle for 20–24 h, and fasted VO2 and VCO2 of each mouse were measured during the next 24 h with food deprivation. Then, re-fed VO2 and VCO2 were obtained with free access to food and water. Physical activity was determined at 12 weeks of age with a TSE LabMaster (TSE Systems, Bad Homburg, Germany) .  Glucose Tolerance Tests  After the last IF cycle, mice were subjected to a glucose tolerance test (glucose tolerance test (GTT)). The glucose tolerance test (GTT) was performed as follows: after food deprivation for 16 h, mice were intraperitoneally injected with glucose solution (1.5 g/kg body weight).",6e126c3b-d986-46f3-ad64-70df73839691
3,methods3," Plasma glucose was measured with a glucose meter (Roche Diagnostics Corp) before and 15, 30, 60, 90, and 120 min after injection .  Insulin Tolerance Tests  After the last IF cycle, mice were subjected to insulin tolerance tests (insulin tolerance test (ITT)s). insulin tolerance test (ITT)s were performed as follows: after food deprivation for 4 h, mice were intraperitoneally injected with 0.75 IU/kg. Plasma glucose was measured using a glucose meter (Roche Diagnostics Corp) before and 15, 30, 45, and 60 min after injection.  Histological Analysis  For H&E staining, tissues fixed with 4% paraformaldehyde were embedded in paraffin. Sections (4-μm-thick) were stained and observed under a ×10 or ×20 objective lens. For tissue staining, white adipose tissue (WAT) was dissected from EP and incubated on ice with 2% PFA overnight, followed by permeable treatment with 0.3% Triton X-100 and 3% FBS in PBS for 1 h at RT.",141347ba-e117-4dd8-a0bd-4aa180f07151
4,methods4," Next, tissues were removed into a staining buffer containing the primary antibody (anti-CD31, ab182981) at 4°C for 24 h and then incubated with a fluorophore-conjugated secondary antibody. The whole EP was scanned under a confocal laser-scanning microscope (Zeiss LSM 780).  Western Blotting  To detect relative protein expression levels, a series of Western blots were performed. Briefly, tissue proteins were obtained by additional chopping with a T10 basic ULTRA-TURRAX handheld homogenizer (IKA, Germany). Equal amounts of proteins were separated on 10% SDS–polyacrylamide gels and then transferred to PVDF membranes. The membranes with proteins were incubated with the following antibodies overnight at 4°C: anti-UCP1 (ab155117, Abcam), anti-vascular endothelial growth factor (VEGF) receptor 2 (ab221679, Abcam), and anti-tubulin (2146, CST) and then were incubated with HRP-conjugated secondary antibodies for 1 h at room temperature.",2203ac2b-37fc-454e-902b-3857c5809c85
5,methods5," All signals were visualized and analyzed by densitometric scanning (Image Quant TL 7.0; GE Healthcare Biosciences, Uppsala, Sweden). The intensity values of the bands were analyzed using ImageJ software (National Institutes of Health, Bethesda, MD, United States).  Real-Time qPCR  Total RNA from tissues and cells was isolated with TRIzol Reagent (Thermo Fisher Scientific, United States) and reverse-transcribed with high-capacity cDNA reverse transcription kit (Promega, United States). The relative expression of genes was detected by the real-time fluorescence quantitative polymerase chain reaction (qPCR) (Light Cycler 480, Roche, Sweden) with SYBR Green Master Mix (Promega, United States).  Statistical Analysis  To each group, 7–11 mice were randomly assigned to reduce the individual differences. For the in vitro experiment, a minimum of four replicates were designed. Statistical analyses were performed with GraphPad Prism version 9.0.",807692db-0892-40b1-be83-8035d8d1d0c5
6,methods6," Outliers were evaluated using the ROUT method (Q = 1%). Data were expressed as mean ± SEM. Unpaired two-tailed Student’s t-test was used for two-group comparison. p-values were calculated to determine statistical differences. ***p < 0.001, **p < 0.01, and *p < 0.05 were considered significant. ",d1c9a59f-3787-4f2b-8b71-fee28b48662b
7,results0," The Anti-Obesity Effect of an Intermittent Fasting Regimen Was Enhanced in Pregnancy Zone Protein Transgenic Mice  pregnancy zone protein (PZP) is mainly expressed in the liver and a small amount in the kidney, immune cells, and brain tissue. Our previous studies have shown that liver-derived pregnancy zone protein (PZP) undertakes almost all metabolic regulatory functions regulated by intermittent fasting regimen (IFR). To investigate whether this difference in function is caused by tissue-specific modification, we constructed a transgenic mice model that specifically overexpresses pregnancy zone protein (PZP) in adipose tissue under the regulation of adiponectin promoter (pregnancy zone protein (PZP) TG mice).  As the following results show, overexpression of pregnancy zone protein (PZP) in adipose tissue did not affect body weight gain of mice fed with a high-fat diet containing 60% fat (Figure 1A).",c078d0d7-ba33-410d-9a9d-b5fb895ec3f4
8,results1," For the same period induced by the high-fat diet, mice on the intermittent fasting diet gained less weight than those on the normal diet, and pregnancy zone protein (PZP) TG in adipose tissue amplifies the anti-obesity effects of the intermittent fasting diet (Figure 1B), and such weight change was mainly caused by the reduction of fat proportion but did not affect the lean mass of mice (Figure 1C). These results indicated that pregnancy zone protein (PZP) TG mice were less sensitive to high fat diet (HFD)-induced obesity.  FIGURE 1 Anti-obesity effect of intermittent fasting regimen (IFR) is enhanced in pregnancy zone protein (PZP) TG mice. (A) Body weight of WT and pregnancy zone protein (PZP) TG mice under high fat diet (HFD) (n = 10). (B) Body weight of WT and pregnancy zone protein (PZP) TG mice under high fat diet (HFD) and IF (n = 12). (C) Body composition of WT and pregnancy zone protein (PZP) TG mice when mice were fed on high fat diet (HFD) and IF for 12 weeks (n = 11).",2b484815-b0dc-4849-bfe6-5c913332fde5
9,results2," (D) Tissue weight of WT and pregnancy zone protein (PZP) TG mice (n = 8). (E) Representative hematoxylin–eosin (HE) staining images of iwhite adipose tissue (WAT), ewhite adipose tissue (WAT), and liver from WT and pregnancy zone protein (PZP) TG mice showing that pregnancy zone protein (PZP) TG mice under IF conditions had smaller adipocytes and less lipid accumulation in the liver (scale bar = 100 μm).  According to our further measurements, the weight of brown adipose tissue (BAT), SUB, EP, and liver was significantly lighter in TG mice than in WT mice (Figure 1D). The results of tissue section experiments directly demonstrated that pregnancy zone protein (PZP) TG mice had less fat storage in fat and liver cells under the dietary measure (Figure 1E).",7872b911-3fdf-4e31-9fe0-6865b6e6c37b
