,chunk_label,chunk_text,uuid
0,methods0," 2.1. Participants  This retrospective study included outpatients with focal onset seizure (FOS) who underwent KD between January 2015 and July 2021.We also recruited a control group of age-matched children presenting headache with no intracranial complications nor other medical issues. This study was performed under the supervision of the Institutional Review Board at Chang Gung Memorial Hospital (IRB number: 202101494B0). Informed consent was obtained from all guardians at the time of enrollment. Exclusion criteria included a confirmed diagnosis of inborn metabolic disorder (pyruvate carboxylase deficiency, primary carnitine deficiency, fatty acid oxidation deficiency, ketolysis deficiency, or familial hypercholesterolemia), porphyria, impaired liver function, impaired renal function, or cardiovascular disease.  2.2. Study Design  The study subjects who received KD were admitted to the pediatric general ward at Kaohsiung Chang Gung Memorial Hospital to undergo a 5-day diet program.",dd5a0fdd-f274-4626-a12d-014f395d108b
1,methods1," All study subjects first underwent metabolic screening to exclude medical conditions that were counter indicative of KD, including blood ammonia and lactate levels, serum cholesterol and triglyceride levels, urinary organic acids, and blood spot tests for amino acid profiles. KD was initiated without fasting during the 5-day hospitalization period. A registered dietitian calculated energy requirements based on daily activity, dietary history, age, body weight, and height. During the 5-day admission period, the patients received one-ninth of the calories on day 1, one-sixth on day 2, one-third on day 3, two-thirds on day 4, and full caloric intake on day 5. The keto ratio started at 2:1 on day 1 and gradually increased to 3–4: 1 on day 5. Daily protein intake was in the range of 1.5–2.5 g/kg/day. Medium-chain triglyceride powder was prescribed at a minimum dosage of 40 g/day for patients with a tolerance for it.",c8ed5844-aab7-46c6-94f5-e44ab3bf6c47
2,methods2," Blood sugar was checked every 2–4 h throughout the hospitalization period to prevent hypoglycemia, and β-hydroxybutyrate (βHB) levels were monitored every day to prevent hypoglycemia and hyperketosis. Blood βHB levels were obtained from a fingertip blood sample (Free Style Optium Neo Blood Glucose and Ketone Monitoring System; Abbott Diabetes Care Inc., Whitney, UK) obtained starting on the 2nd day of the 5-day diet program. On the day of discharge, the KD nursery team instructed the families on how to measure urinary ketone levels using a dipstick (Ketostix®, Bayer Diabetes, Berkshire, UK). Seizure frequency and βHB levels were recorded using seizure diaries at monthly follow-up visits for 12 months. EEG analysis was performed before initiating the ketogenic diet and at 12 months after the ketogenic diet. We also compared EEG functional connectivity between the control group and study group based on phase-locking value.  2.3.",eaad6938-f2ca-486f-855c-68722848690e
3,methods3," Children Behavior Checklist (child behavior checklist (CBCL))  The child behavior checklist (child behavior checklist (CBCL)) is widely used to detect behavioral and emotional problems in children and adolescents following an intervention [24,25,26,27]. It is a component of the Achenbach System of Empirically Based Assessment [28]. Note that the child behavior checklist (CBCL) is completed by parents using 2 questionnaires for 2 respective age groups: 1.5–5 years and 6–18 years. All patients in the current study exceeded 6 years of age; therefore, we used the child behavior checklist (CBCL)/6–18. This scale comprises eight syndrome scales: anxious/depressed, withdrawn/depressed, somatic complaints, social problems, thought problems, attention problems, rule-breaking behavior, and aggressive behavior.",e93b98b0-a6e3-477c-aba1-2361f2accd8d
4,methods4," It also includes six DSM-oriented scales consistent with DSM diagnostic categories: affective problems, anxiety problem, somatic problems, attention deficit/hyperactivity disorder (attention deficit/hyperactivity disorder (ADHD)), oppositional defiant problems, and conduct problems. A total of 113 questions were answered by the parents.  2.4. Electroencephalography (EEG) Recording  A total of 37 subjects were recruited for this study. EEG recordings were acquired during the sleep cycle at a sampling rate of 125 Hz. A total of 19 gold-coated silver electrodes (Neuroscan Inc., Sterling, VA, USA) were applied to the skin using conductive paste in accordance with the standard positions of the 10/20 system. Data were recorded continuously on a 32-channel EEG machine (Natus Nicolet One vEEG, San Carlos, CA, USA) at a sampling rate of 2KHz.",c6c900aa-63a9-4c0d-b388-3d5d93754154
5,methods5," Several eyes-open and eyes-closed EEG sequences were recorded from from the study group and control group in order to ensure proper spontaneous EEG values, such as eye movement artifacts in the frontal leads and the apparition of posterior alpha rhythm initiated by closing the eyes. EEG impedance values were kept below10 kΩ. To all electrodes was applied a low cutoff filter of 1 Hz, and a high cutoff filter of 70 Hz.  2.5. Electroencephalography (EEG) Preprocessing  Continuous scalp EEG data were imported into EEGLAB v2019.0, a MATLAB-based open toolbox [29]. A one-min segment recorded during sleep stage I-II was selected. A finite impulse response filter (0.5–30 Hz) was used to band-pass filter (third-order Butterworth, zero-phase digital filtering) each EEG channel. Data was re-referenced to the average of all scalp channels, and blinks, eye movements, while other mechanical artifacts were removed via independent component analysis (independent component analysis (ICA)) [30].",5f0ffbc6-dd64-4e97-b0d7-27a9eabcb04d
6,methods6," Average two independent components (ICs) were removed. The EEG data were subsequently partitioned into 29 epochs with a duration of 4 s and an overlap of 2 s. A thorough examination of the epochs guaranteed that none involved bad channels or contained head motions or muscle movements. Functional networks across broad brain regions were identified based on functional connection strength, which was estimated using the phase locking value (phase locking value (PLV)) across all electrodes (Fp1, Fp2, F3, F4, C3, C4, P3, P4, O1, O2, F7, F8, T3, T4, T5, T6, Fz, Cz, and Pz) in the delta, theta, alpha, and beta frequency bands (0.5–4, 4–8, 8–13, and 13–30 Hz, respectively).  2.6. Functional Connectivity  phase locking value (PLV) was used to independently reconstruct a functional network between all pairs of 19 electrodes for each region of the frequency band and epoch.",a022c03e-d1f3-45e8-9137-0f09a19b87e2
7,methods7," To moderate the effects of volume conduction, the phase locking value (PLV) measure was used to quantify phase synchronization [31]. Note that phase locking value (PLV) measures the degree of asymmetry in a distribution of instantaneous phase differences [31]. A symmetric distribution that is centered around zero indicates the possibility of spurious connectivity, whereas a flat distribution indicates a lack of connectivity. Deviations from a symmetric distribution are an indication of dependency between sources. In the current study, the phase locking value (PLV) ranged between 0 (no coupling) and 1 (perfect phase locking). Weighted adjacency matrices were produced for each connectivity measure by respectively taking the mean of all 29 functional connectivity matrices for each patient and each frequency band.  2.7.",e88f1280-05c9-41a0-8651-d5ae1eacf8ae
8,methods8," Graph Theoretical Analysis  Weighted connectivity matrices were obtained by applying a series of thresholds to the 19 × 19 weighted adjacency matrix of each subject and each frequency band. We used proportional thresholds for network measurements with step-wise increasing values. Despite variations in their values related to graph theory parameters, our results presented a consistent trend [32]. The thresholds were set to 90th, 85th, 80th, …, and 10th percentiles of the weights in the matrix, which resulted in 17 weighted adjacency matrices with densities of 10%, 15%, …, and 90%, respectively. Indexes based on graph theory were used to analyze the weighted connectivity matrices [33]. In graph theoretic analysis, the brain is modeled as a graph composed of nodes and undirected edges, respectively indicating EEG channels and functional connectivity by the phase locking value (PLV).",c299f162-60b2-4bd3-88be-faab3c823ecc
9,methods9," Graph-based parameters were estimated using MATLAB functions collected using the Brain Connectivity Toolbox (www.brain-connectivity-toolbox.net, accessed on 1 September 2021). The following indices were estimated for each of the reconstructed graphs [34]: (1) basic measures (nodal strength), (2) measures of integration (global efficiency), (3) measures of segregation (clustering coefficient), and (4) measures of centrality (betweenness centrality).  2.8. Statistical Analysis  We compared the demographic data of patients in the two groups using the Mann–Whitney U test (i.e., age, number, and dosage of Anti-seizure medications (ASMs) and child behavior checklist (CBCL)) and Chi-squared test (i.e., gender, seizure types, etiology of epilepsy, EEG lateralization, and dominant hand). Two-sided Wilcoxon rank-sum tests were used to compare graphs of theoretic focal onset seizure (FOS) properties from patients before and at 12 months after KD therapy (KDT) versus the age-matched control group.",9a84cb64-b8b7-42c6-bfa1-e7151b270213
10,methods10," Comparing network properties before and at 12 months after KD therapy (KDT) required that we use the two-sided Wilcoxon signed-rank test to assess cases of focal onset seizure (FOS) presenting right or bilateral EEG lateralization or cases of focal onset seizure (FOS) presenting left or bilateral EEG lateralization. Statistical significance was set at p < 0.05, which was corrected for multiple comparisons using the false discovery rate (false discovery rate (FDR)) [35]. We also performed rank partial correlation coefficient analysis between graph indices, change rates, and child behavior checklist (CBCL) change rates. The child behavior checklist (CBCL) change rate throughout the 12 months assessment period was determined as follows:(baseline child behavior checklist (CBCL)-child behavior checklist (CBCL) in 12 months)/baseline child behavior checklist (CBCL) × 100%.  2.9. Study Assessment  2.9.1.",b6dae4a1-213e-4f8b-8d64-2472bc856e6e
11,methods11," Primary Outcome  The number of seizures was recorded by the patient’s family, and the primary outcome was the degree of seizure reduction at 12 months after KD. The formula used to calculate the degree of seizure reduction was [(a – b)/a] × 100, where ‘a’ indicates the number of seizures in the 28-day baseline period and ‘b’ indicates the number of seizures in the 28 days at the 12-month follow-up [36]. Patients with a reduced seizure frequency of ≥50% were defined as responsive and those with a reduced seizure frequency of <50% were defined as non-responsive [36].  2.9.2. Secondary Outcome  After KD treatment, analysis was performed to determine the correlations between changes in EEG functional connectivity and changes in behavioral patterns and emotional state.  3. Results  3.1.",b3c84db7-3bf5-43f8-827b-ca1d20ae06ec
12,methods12," Patient Enrollment  Thirty-seven children were enrolled, including seventeen children with focal onset epilepsy undergoing KD therapy (KDT) (study group) and twenty children age-matched control subjects who visited the clinic for headache without intracranial complications nor other medical issues. The mean age of subjects in the study group was 12.03 ± 6.98 years, and the mean age of subjects in the control group was 12.12 ± 3.08 years. No significant difference was observed in the mean age between groups using the Mann–Whitney test (p = 0.85). child behavior checklist (CBCL) scores were obtained from parents following the completion of the 12-month KD therapy (KDT) program. Note that only 23 of the child behavior checklist (CBCL) questionnaires were filled out (10 fathers and 13 mothers; Supplementary Figure S1).  3.2. Patient Demographics  Table 1 lists demographic data of the study subjects. The mean age in the study group at KD initiation was 12 years.",6e451134-6510-499b-a8b2-58ac4ffbc308
13,methods13," At the time of recruitment, the patients were receiving a median of 2 types of ASM. Among them, 14 (14/17, 82.4%) were responsive after 6 months of KD therapy (KDT), 12 of whom (85.7%) achieved seizure freedom. Note that only 11 of the 14 responsive patients completed the 12-month KD program. Among those who completed the program, 12 (92.3%) saw the frequency of seizures decrease by more than 50% during the 12-month follow-up. One of the patients (No. 9 in Table 1) became responsive during the period between 6 and 12 months after KD therapy (KDT) treatment. EEG lateralization included 35% (6/17) on the right side, 29.4% on the left side (5/17), and 35% presented bilateral side with difficulty to determine the origin. Fifteen of the study subjects were right-handed; however, this was not correlated with EEG lateralization patterns. The leading etiology was unknown, whereas the second etiology was genetic factors (data not shown).  3.3.",11b59ea2-cafd-433b-b66e-713c79193387
14,methods14," Behavioral Assessment  child behavior checklist (CBCL) data are presented in Supplementary Table S1. Separate child behavior checklist (CBCL) questionnaires were filled out respectively by the father and mother; however, only ten fathers and thirteen mothers completed the questionnaires, due presumably to familial difficulties. We did not observe a significant difference between the scores assigned by fathers and those assigned by mothers for the syndrome scale or DSM-orientated scales at 12 months after KD therapy (KDT). Nonetheless, the reports by mothers indicated a significant decrease in somatic complaint scores and depressive problems on over the 12 months of KD therapy (KDT) program. Overall, it appears that the mothers paid more attention to somatic and emotional complaints than did the fathers.  3.4.",87905531-9f42-4201-94ef-f190a1daa795
15,methods15," Functional Connectivity as Compared to Normal Population  In graph theory pertaining to brain functional connectivity, the term ‘node strength’ refers to the sum of network weights attached to ties associated with a given node. A clustering coefficient is used to measure the degree to which nodes cluster together. Global efficiency refers to the ability of the brain to integrate information. Betweenness centrality is a measure of centrality in a graph based on shortest paths; i.e., the level at which the node affects the network. In the current study, network parameters were used to elucidate functional connectivity in patients with epilepsy and an age-matched normal population.  At the time of KD initiation, global efficiency, the mean clustering coefficient, and mean nodal strength of the delta and beta frequency bands were far higher in patients with focal onset seizure (FOS) presenting right or bilateral EEG lateralization than in the controls.",0871e30f-2f51-4dd7-b523-df1bf0e84bf7
16,methods16," This group also presented significantly lower betweenness centrality in the delta and theta frequency bands (Figure 1). Note that in this group, the global efficiency, mean clustering coefficient, and mean nodal strength of the delta and theta frequency bands approached normal values at 12 months after KD therapy (KDT) (Figure 2). Nonetheless, global efficiency, the mean clustering coefficient, and mean nodal strength in the beta frequency band were unaffected by KD therapy (KDT). We also observed significantly lower betweenness centrality in the delta and beta frequency bands.  During the study period, focal onset seizure (FOS) patients with left or bilateral EEG lateralization did not present significant changes across proportional thresholds in global efficiency, mean clustering coefficient, mean nodal strength, or mean betweenness centrality in the delta, theta, alpha, or beta frequency bands (Supplementary Figures S2 and S3).  3.5.",157ba630-bc75-46e3-b38f-a16f95d5e3cd
17,methods17," Functional Connectivity after Ketogenic Diet Therapy  Over the 1-year treatment period, focal onset seizure (FOS) patients with right or bilateral EEG lateralization presented a significant decrease in global efficiency in the delta and theta frequency bands, as well as a decrease in mean clustering coefficient and mean nodal strength in the theta frequency bands (Figure 3). No significant changes in global efficiency, mean clustering coefficient, mean nodal strength, or mean betweenness centrality were observed across proportional thresholds in the delta, theta, alpha, or beta frequency bands of focal onset seizure (FOS) patients with left or bilateral EEG lateralization (Supplementary Figure S4).  3.6.",ce1897bb-c2ea-4e2a-8891-4f1cc9d5bc37
18,methods18," Correlation with Children Behavior Checklist (child behavior checklist (CBCL))  Based on the child behavior checklist (CBCL)/6-18 submitted by fathers, changes in the mean clustering coefficient in the delta band were significantly positively correlated with the change rates of social problems (R = 0.76, adjusted p = 0.04) and conduct problems (R = 0.80, adjusted p < 0.05) (Figure 4A,B), whereas changes in mean nodal strength in the delta band were significantly positively correlated with the change rates of social problems (R = 0.72, adjusted p = 0.03) and conduct problem (R = 0.73, adjusted p < 0.05) (Figure 4C,D). Changes in global efficiency were slightly positively correlated with the change rates of social problems (R = 0.75, adjusted p = 0.06) in the delta band and with the change rate of thought problems (R = 0.66, adjusted p = 0.08) in the beta band.",7af50b0b-f407-46e4-98dc-ac6bd2f52530
19,methods19," Based on the child behavior checklist (CBCL)/6-18 submitted by mothers, changes in the mean attention deficit/hyperactivity disorder were slightly positively correlated with changes in the mean clustering coefficient (R = 0.64, adjusted p = 0.06) and significantly positively correlated with changes in mean nodal strength (R = 0.67, adjusted p = 0.03) in the delta band (Figure 4E).  4. Discussion  In this study, we determined that KD therapy (KDT) was effective in reducing the incidence of seizures and had a noticeable effect on 82.4% of study subjects. Compared to baseline values, patients with focal onset seizure (FOS) with right or bilateral EEG lateralization presented a significantly decrease in the global efficiency of functional connectivity at 12 months after KD therapy (KDT). This indicates that KD therapy (KDT) decreased neuronal synchronicity, and in so doing decreased the frequency of seizures.",2276562e-ad2c-4507-839a-d49c74429c0f
20,methods20," KD therapy (KDT) was also shown to moderate behavior problems, by decreasing somatic complaints, depression, and attention deficiency/hyperactivity disorders.  In graph theory, global efficiency indicates the efficiency with which a network transmits information, i.e., integration. The clustering coefficient indicates the degree of connectivity among the neighbors of a given node, i.e., segregation in a local region. Nodal strength indicates the degree to which a given node is able to deliver information. In the current study, we calculated the clustering coefficient and nodal strength of whole brain EEG 19 electrodes and then calculated the average (mean) value. Thus, the mean clustering coefficient and mean nodal strength may indicate the segregation of global regions.",9a59e821-df88-4b8e-9148-4081ea316b29
21,methods21," We determined that in patients presenting focal onset seizure (FOS) with right or bilateral EEG lateralization, KD therapy (KDT) significantly decreased global efficiency, mean clustering coefficient, and mean nodal strength in the theta band. In the delta band, we observed a significant decrease in global efficiency, but no significant difference in the mean clustering coefficient or mean nodal strength, both of which presented curves with p values close to 0.05. The above findings appear to indicate that KD therapy (KDT) decreased integration and segregation in patients presenting focal onset seizure (FOS) with right or bilateral EEG lateralization. This is similar to the findings in the previous study [22]. In patients presenting focal onset seizure (FOS) with right or bilateral EEG lateralization, we observed no significant differences between the study group and the age-matched control group in terms of global efficiency, mean clustering efficiency, or mean nodal strength.",64182c36-184b-4860-8fed-9997718ef933
22,methods22," These results indicate that KD therapy (KDT) effectively normalized global efficiency (integration), while assisting in seizure control. The above findings suggest that global efficiency is inversely proportional to the seizure threshold. Individuals with higher global efficiency are better able to deliver information, including epileptic discharge, which would make them more susceptible to frequent seizures resulting from a low seizure threshold. From this, it is also possible to infer that if an epilepsy patient initially had higher global efficiency, then KD would have little effect in terms of seizure control.  Note, however, that patients presenting focal onset seizure (FOS) with left or bilateral EEG lateralization did not present the same results. This prompted our hypothesis that KD therapy (KDT) decreased neuronal connectivity in the nondominant brain hemisphere but not in the dominant hemisphere. This finding is worthy of further investigation in the future.",cecb8e86-20d0-412a-be52-baa06598482e
23,methods23," We posit that patients with focal onset seizure (FOS) are more likely to benefit from KD therapy (KDT) (in terms of seizure control) if their EEG lateralization is toward the nondominant brain hemisphere.  We observed a persistently significant difference in global efficiency in the beta band, even at 12 months after KD therapy (KDT). We posit that this was related to the use of chloral hydrate, Estazolam, or other benzodiazepines during EEG, as indicated in a previous review paper [37]. Under these conditions, it would be easy to misidentify beta activity in graph theoretic analysis. It is also likely that interference by medications also masked the effects of KD therapy (KDT) on global efficiency.  Changes in child behavior checklist (CBCL) scores are associated with changes in EEG functional connectivity in specific frequency bands.",e5d55e8d-d82d-4af5-91d0-58fccb7cdca7
24,methods24," Overall, the change rate in child behavior checklist (CBCL) scores from specific parents was proportional to the change rate related to the efficiency of EEG functional connectivity. These results suggest that the observed reduction in functional connectivity after 12 months after KD therapy (KDT) was associated with the change rate of child behavior checklist (CBCL) scores.  The child behavior checklist (CBCL) questionnaire results from mothers revealed that KD therapy (KDT) had significant effects on somatic complaints, depression, and to a lesser degree aggressive behavior, and attention deficit/hyperactivity disorder (attention deficit/hyperactivity disorder (ADHD)). Note that these findings are in line with previous studies [16,38]. Overall, KD therapy (KDT) was shown to have beneficial effects on neuropsychiatric disorders, such as attention deficit/hyperactivity disorder (ADHD) and depression problem in children.",73e34030-b52a-4441-a685-88af55ccea4d
25,methods25,"  Functional MRI (fMRI) and/or graph theory are increasingly being used to assess functional connectivity and its correlation with neurological and psychiatric disorders [39,40,41]. In the current study, we used graph theory to investigate KD therapy (KDT)-induced changes in EEG functional connectivity and the correlation with changes in child behavior checklist (CBCL) values indicative of behavior changes. Some of the variations in the child behavior checklist (CBCL) questionnaires results were uncorrelated with variations derived using graph theory; however, our results hint at a possible pathophysiology of neuropsychiatric disorders. Further analysis combining fMRI and EEG will be required to fully elucidate the effects of KD therapy (KDT) and the underlying mechanisms.  Note that this study was subject to a number of limitations.",a42b5a1b-0299-4f59-aae9-841371b3e1ad
