,chunk_label,chunk_text,uuid
0,methods0,"2.1. Subjects and Design This non-experimental, cross-sectional and descriptive research was conducted on a sample of 651 university students from Spain and Romania, enrolled in the Physical Education degrees, aged between 18 and 24 years old (20.71 ± 2.42 years). The respondents participated voluntarily after receiving a detailed explanation of the objectives and nature of the study. Written informed consent was provided. We excluded from the analysis 46 participants that did not complete the inclusion criteria correctly (i.e., incomplete questionnaires, did not hand informed consent forms), thus the final sample was comprised of 605 subjects (368 males and 237 females): Romania (n = 178) and Spain (n = 427). The students from Romania were enrolled in the Transylvania University of Brasov, while the Spanish students were enrolled in the University of Granada. Finally, an assumed sampling error of 0.05 was taken into account, considering a random sampling by natural groups [47].  2.2.",c15ade8a-1618-401c-9386-29eb087dc1c3
1,methods1," Instruments Test of Adherence to Mediterranean Diet (KIDMED) [48]. This scale comprises 16 items with an affirmative or negative response; for example: “You eat fruit every day”, which are related to patterns associated with the MD. Twelve of these items have positive connotations (+1) while the other four have negative values (−1). The final score ranges from −4 to +12. This instrument has a reliability of α = 0.86.  Perceived Motivational Climate in Sport Questionnaire (PMCSQ-2, [49,50]). This instrument is composed by 33 items which are scored by a five-point Likert-scale, ranging from 1 to 5 (Strongly Disagree-Strongly agree). The scale comprised two factors, higher-order dimensions, each containing three indicators. For task-oriented climate the indicators were: effort/improvement, cooperative learning and important role. For ego-oriented climate the indicators were: unequal recognition, member rivalry and punishment for mistakes.",56093c5d-f69c-428a-b12b-b01406f7c497
2,methods2," The internal consistency for this questionnaire was α = 0.85 for task-climate and α = 0.82 for ego-climate.  2.3. Procedure First, we proceeded to request the approval of the study by the Ethics Committee of the University of Granada, which was granted with code ""641/CEIH/2018”. Subsequently, the collaboration of educational centres was requested through an informative letter elaborated by the Area of Corporal Expression of the University of Granada. In addition, the informed consent of the respondents was requested through a document in which the nature of the study was detailed.  The data was collected during regular classes in the different university campus. Different research assistants were present in the data collection in order to ensure that questionnaires were properly completed, to provide guidance on the completion of scales and to answer questions. Furthermore, participants receive any incentives.  2.4.",873f77c5-f2b0-4a09-bd19-600c1786d560
3,methods3," Data Analysis Statistical analysis was conducted using the software IBM SPSS® 22.0 (IBM Corp., Armonk, NY, USA). Frequencies and medians were used for basic descriptors, whereas the association between the variables detailed were analysed using T-test and ANOVA-test. In addition, the Kolmogorov–Smirnov’s test was used in order to check the normality of data, as well as the Lillieforts’ correction. Levene’s test was employed in order to check homoscedasticity. Finally, Cronbach’s Alpha coefficient was used to analyse the internal reliability of the instruments used, establishing the Reliability Index at 95%. In addition, AMOS version 23.0 (IBM Corp., Armonk, NY, USA) is used for the structural equation analysis.  The Structural Equation Model (Structural Equation Model (SEM)) is composed by seven observed variables and two latent variables (Figure 1). Task-involved climate (TC) and ego-involved climate (EC) represent the exogenous variables, which is inferred by three indicators.",9c3a7265-4fde-4e90-a0ef-1d91c78de0f7
4,methods4," Effort/Improvement (EI), Cooperative learning (CL) and Important Role (RI) are the indicators for task-oriented climate while Unequal Recognition (UR), Member Rivalry (MR) and Punishment for Mistakes (PM) are the indicators for ego-oriented climate. On the contrary, the Mediterranean diet (MD) was the observed endogenous variable. The bi-directional arrow (covariance) relates exogenous variables, while the unidirectional arrows are lines of influence between the latent and observable indicators and are interpreted as multivariate regression coefficients. In addition, error prediction terms are associated with endogenous variables. The method of maximum likelihood (ML) was used to estimate relationships between variables. We chose this method because it is consistent, unbiased and invariant to types of scale given variables with a normal distribution.  Model fit was tested using several indices. Chi-squared analysis followed when non-significant p-values indicated good model fit.",dc989ccb-771b-4bcc-ae4a-94ce144436b0
5,methods5," Normalized Fit Index (Normalized Fit Index (NFI)), Comparative Fit Index (Comparative Fit Index (CFI)) and Increase Fit Index (Increase Fit Index (IFI)) values higher than 0.90 indicate acceptable model fit while values higher than 0.95 indicate excellent model fit. Root Mean Square Error of Approximation (Root Mean Square Error of Approximation (RMSEA)) values below 0.08 indicate acceptable model fit while values below 0.05 indicate excellent model fit.  3. Results Table 1 shows the average scores obtained in each item of the test on adherence to the MD, according to the country of origin of the university students enrolled in Physical Education degrees. In this way, statistically significant differences (p ˂ 0.05) were found in fruit and daily fruit juice consumption (0.27 ± 0.44 vs. 0.77 ± 0.41) and in the intake of a daily second fruit (0.78 ± 0.41 vs. 0.42 ± 0.49), obtaining a higher score for Spanish students in the first case and in Romanians in the second.",29244463-f530-41b9-a147-53ff7b33bc90
6,methods8,"53 vs. 3.00 ± 0.54) and punishment for Mistakes (3.28 ± 0.61 vs. 2.96 ± 0.50) showing higher scores for medium adherence to MD than for higher adherence. In addition, statically significant differences at level p ˂ 0.01 were found for Member Rivalry with a high average for medium adherence (3.45 ± 0.76 vs. 2.93 ± 0.96. Moreover, Spanish students showed significant differences at level p ˂ 0.05 with higher values for low adherence to MD than medium adherence in Task-oriented Climate (4.49 ± 0.37 vs. 3.98 ± 0.62), Cooperative Learning (4.60 ± 0.37 vs. 4.01 ± 0.72) and Effort/Improvement (4.37 ± 0.53 vs. 3.90 ± 0.65).  Finally, a structural equation model is developed in order to compare the relationships between all the analysed factors according to the country (Figure 2 and Figure 3). Almost all fit indices of model suggested good fit. A significant chi-square value was obtained (χ2 = 126.85; df = 5.28; p ˂ 0.001).",e52614df-29a7-4809-a5c8-654e3cc9873c
7,methods9," Nevertheless, as this index has no upper limit and may also be sensitive to sample size, we also considered other standardized indices which are less sensitive to sample size. The Normalized Fit Index (NFI) was 0.93, indicating an acceptable fit to the model. The Comparative Fit Index (CFI) yielded a value of 0.94 and the Increase Fit Index (IFI) got a value of 0.94. Finally, Root Mean Square Error of Approximation (RMSEA) value was 0.74, indicating acceptable fit.  Table 4 shows the standardized weights of university students from Spain and Romania. A significant negative relationship was found between the two dimensions of motivational climate for university students from both countries, being negative in Spaniards (p ˂ 0.001, b = −0.429) and positive in Romanians (p ˂ 0.001, b = 0.872).",94f36406-9199-4bd4-9d0b-8533cd711b05
8,methods10," In relation to the indicators and their association with the exogenous variables, the variable that showed the highest regression weight for the task-oriented climate in Spanish students was the important role (p ˂ 0.001, b = 0.884), while in the students from Romania it was the effort / improvement (p ˂ 0.001, b = 0.765). In the case of the ego-oriented climate, the indicator with the highest regression weight was unequal recognition for Spaniards and Romanians (p ˂ 0.001, b = 0.940; p ˂ 0.001; b = 0.765).   Finally, the relationship between adherence to MD and motivational climate in sport is analysed (Table 4). A significant and positive relationship was obtained between the ego-oriented climate and the level of adherence to MD (p ˂ 0.05, b = 0.103) in young Spaniards, whereas this association was not significant for young Romanians.",c5668fc2-f77c-4988-8581-4b8ac7fbbdf9
9,methods11," On the contrary, there was a statistically significant association between the task-oriented climate and the level of adherence to the MD, which was negative (p ˂ 0.001, b = 0.315). Nevertheless, this relationship was not statistically significant for Spanish university students.  4. Discussion Adherence to the MD has been studied in many countries [4,13,15,16,17,18,19,20,21]. Nevertheless, there are few studies comparing dietary habits and other aspects, such as motivational factors related to the practice of sport. The global score obtained for adherence to the MD was higher for Spanish students. This is due to Romania being a non-coastal country, located further north than Spain. This geographical location, which comes with a different climate and cultural customs, does not enable the cultivation of many of the typical foods of the Mediterranean basin (that constitute the MD) in Romania [6,9,12].",2add8b08-8768-4466-bc61-c7b57450928c
10,methods12," Nevertheless, there is a good amount of food exports in the countries of the European Union, which make these differences less important to the level of adherence to MD, as Baylis et al. [51] show.   It was found that the consumption of vegetables, fruits and juice is higher in Spanish students than in the Romanian students. This is due to the geographical and cultural characteristics of the Spanish region, as these products are frequently cultivated given the better climatological conditions, an easy access and a low price [12,52]. Furthermore, there is a large production of oranges in Spain. The importance of the intake of this fruit is established in society and juice is one of the most frequent methods of consumption. The benefits of consuming these foods are known since they are rich in vitamins and antioxidants, which encourage their consumption by the Spanish population [52,53].",9a713067-2221-4b4c-aa59-7a2278c8ffd0
11,methods13,"  In addition, it was shown that Romanian students ate fruit or vegetables more than once a day with higher frequency than Spanish students. It has been observed that Spanish students follow a better diet and the consumption of these foods is globalized in general. Nevertheless, they did not achieve much higher scores in the consumption of fruit or vegetables. However, the higher consumption of vegetables and fruit among Romanian students may be justified by the participants who follow a healthy lifestyle. Moreover, the scores can be explained by the anthropometric characteristics of people from Eastern Europe and by the climatic conditions that require a higher food intake. Studies carried out around the world have highlighted the differences that exist between different countries [9,12,54,55,56].",847c1076-1fea-4ca1-b041-67ea03ea0b26
12,methods14,"  The geographical situation of Spain and its climate favour the consumption of food such as fish, milk or cereals more consumed among its students, whereas the diet model of Romanian students is more oriented towards the consumption of pasta or rice. On the other hand, it is worrisome that the consumption of sweets, processed foods or fast food is higher in Romanian students. This is because they have not adopted the Mediterranean diet within their dietary models and this promotes little or no consumption of these foods [13,52].  The motivational climate in sports practice has been studied in different contexts, mainly the field of Physical Education, competitive sports and healthy habits [36,57,58]. In the present study, higher scores have been observed in the task-oriented motivational climate of Spanish students, whereas Romanian students obtained higher scores in the ego-oriented motivational climate in all its dimensions.",f0e6a79d-ae14-46f7-94e6-fec5a33254bb
13,methods15," This could be explained by the type of sports that are practiced most frequently in these countries. Team sports such as football or basketball are more common in Spain, promoting factors that are more linked to the task climate, such as cooperation or teamwork [50,59]. On the contrary, there is a greater tendency for the practice of individual sports such as wrestling, sports gymnastics or weightlifting in Romania, making them stand out in a greater competitive context with the disappearance of the hedonistic factor [40,60,61]. Therefore, although both sports may link all kinds of motivations, those that involve greater social interaction and collaborative work will be related to more self-determined motivations. This idea, along with the cultural influences of each country, will justify these findings [33,34,60].  In the relationship between the motivational climate and MD, those students who are oriented towards the task are those who have a lower adherence to MD.",c083db44-4f59-445e-9281-2c9c68a0ec94
14,methods16," This can be explained by students that are intrinsically predisposed to the pleasure of physical activity and, thus, do not follow a diet of quality in order to improve their sport performance [41,62]. Nevertheless, the students who got higher scores for ego-oriented climate were those with a medium or high adherence to MD, may propitiated by the importance that has the feeding and the nutrition for the sports performance [6,63]. In addition, the scores in ego-oriented climate showed an increase in relation to medium adherence to MD in Romanian students, which is produced because they do not have low adherence in any case and the importance given to get good results in sport context [41]. On the contrary, the statistical differences are shown in task-oriented climate in Spanish university students. In this students an increase of the average scores of the task climate was linked to a low adherence to the MD.",ff1a96ca-7be7-45c2-ac9e-ff70915302d1
15,methods17," This can be justified by the intrinsic motivations of this group, who do not prioritize nutrition as much as they should, as they do not aim at a better performance like their competitors [64,65,66,67,68].   First, the limitations found in this study are determined by the cross-sectional design of this study, where data is collected at a specific time, not allowing to establish causal explanation of this variables. Another limitation is associated with the sample size, since data cannot be generalized to the general population of these countries. Only students between 18 and 24 years of age, enrolled in Physical Education and who have knowledge of nutrition have been analysed. It would also have been interesting to apply the PREDIMED questionnaire but this test that analyses the adherence to the MD in people older than 21 years was not appropriate for our participants (who were mostly less than that age).",db4b4877-7937-4bde-a9b0-6b4cc7b40714
16,methods18," The variables selected represent another limitation since it would have been of interest to include the socio-economic level and the place of residence of the students in order to know their influence on the level of adherence to the MD. Lastly, with KIDMED being a self-report questionnaire, some comprehension errors could be found, although this is not impeding its application [41,42,43,44,45,46,47,48].   5. Conclusions The present study show evidence for a higher adherence to MD among Spanish students, as indicated by a higher intake of fruit, vegetables, cereals and fish. On the contrary, Romanian students ate more pasta, rice and processed products such as sweets or fried foods. In relation to the motivational climate, it was observed that students from Spain obtained higher scores in task climate and students from Romania achieved higher scores in ego climate, due to the type of sports practiced.",ca1d3425-eb96-4401-9b8c-f94842328aba
17,methods19," The relationship between these two variables suggested that the task-oriented motivational climate was related to a diet of poorer quality in young Spaniards, observing the opposite in students from Romania. Finally, the structural equation model revealed how the task-oriented climate exerted a negative influence on the adherence to DM in Romanian students, while the ego-oriented climate exerted a positive influence on the quality of the diet of Spanish students.  It has been shown that the existence of extrinsic motivations can be linked to better nutrition, both for health purposes and the achievement of better sports performance. Although the motivations of intrinsic type are linked to healthier habits associated with sport practice, these were not related to nutrition.",8465345b-1014-44d7-9402-a594bfd8b0b1
18,methods20," While further research is necessary to substantiate the findings from this study, there are adequate indications to pursue development of intervention programs aimed at improving the quality of diet, especially among students in Romania. On the other hand, such programs are also of vital importance for Spanish students, in order to obtain a better quality of the diet in those intrinsically motivated.  Author Contributions R.C.-C., G.B., F.Z.-O. and M.C.-S. conceived the hypothesis of this study. F.Z.-O., R.C.-C. and G.B. participated in data collection. R.C.-C., M.C.-S. and F.Z.-O. analysed the data. All authors contributed to data interpretation of the statistical analysis. F.Z.-O., M.C.-S. and G.B. wrote the paper with significant input from R.C.-C. All authors read and approved the final manuscript.  Funding This research received no external funding.  Conflicts of Interest The authors declare no conflict of interest.  Figure 1 Theoretical model.",5f9328b5-1b17-45bc-95a1-826661a2bd18
