,chunk_label,chunk_text,uuid
0,methods0," Protocol of this review was registered and is available in PROSPERO (PROSPERO 2020CRD42020181924). Eligible studies included original research papers with the following components: 1. Lingonberry or bilberry treatment (fermented or not fermented whole berry or berry juice, whole berry extracts, anthocyanin-rich extracts, and other fractions of extracts derived from bilberry or lingonberry); 2. digestive tract human cancer cell line, animal model, or human patients; 3. treatment tested on a direct cancer-relevant endpoint, including the number and size of tumors or pre-cancerous lesions, inhibition of tumor cell proliferation, cytotoxicity, induction of apoptosis, or invasion and migration of tumor cells.  Publications not written in English, case-reports, reviews, and conference abstracts were excluded.",32ad0f9d-7df5-45f3-bbdc-b6ebeda65e04
1,methods1," Studies with only indirect markers of cancer risk, such as oxidative stress or inflammation, or studies with single compounds not derived from lingonberry or bilberry, were considered outside the scope of this review.  The literature search was carried out by 2 independent reviewers (TO and AK) on 20.4.2020 and updated on 4.3.2021 in four databases: PubMed, Scopus, Web of Science, and CAB abstracts. Search syntax for PubMed, Web of Science, and CAB was as follows: ((lingonberr* OR Vaccinium viti",1abd4294-82e6-43bd-9a12-e76e4e503612
2,methods2,s-idaea OR cowberr* OR mountain cranberr* OR bilberr* OR vaccinium myrtillus OR whortleberr* OR european blueberr*) AND (neoplas* OR metasta* OR invas* OR migrati* OR malignan* OR polyp* OR aberrant crypt foci OR adeno* OR tumor* OR onco* OR cancer* OR carcino* OR *cancer OR mutage*)) In Scopus search was divided into two searches; bilberry: TITLE-Abs KEY ((bilberr* OR myrtillus OR whortleberr*) AND (neoplas* OR metasta* OR invas* OR migrati* OR malignan* OR polyp* OR “aberrant crypt foci” OR adeno* OR tumor* OR onco* OR cancer* OR carcino* OR *cancer OR mutage*)) and lingonberry: TITLE-ABS-KEY ((lingonberr* OR vitis-idaea OR cowberr* OR “mountain cranberr*”) AND (neoplas* OR metasta* OR invas* OR migrati* OR malignan* OR polyp* OR “aberrant crypt foci” OR adeno* OR tumor* OR onco* OR cancer* OR carcino* OR *cancer OR mutage*)).  Duplicates were removed and titles and abstracts were screened by two independent reviewers (TO and AK).,94e048d1-7f85-437a-b593-f337e4cec166
3,methods3," Full texts were retrieved for included studies and for papers that did not provide all relevant information in the abstract. A final selection was made in duplicate based on the full text.  Data from each included study was extracted by 2 independent reviewers (TO and AK/MM) using a piloted form. Each study was extracted in duplicate. Disagreements were solved with the 3rd reviewer (AK/MM). Data collected from each study included publication information, authors, cell line/animal model/human population and site of cancer, berry species, berry preparation used for exposure, time of exposure, concentration, end points studied, methods used, controls, number of repeats and replicates (cell studies) or number of studied individuals (animals or human subjects), results, conclusions made by authors, reviewers’ evaluation of study quality, and other comments. Due to variable methodology across studies, collected data was considered suitable for qualitative synthesis only.",e842278e-5a9a-42be-bc49-6dc94788270f
4,methods4," Data was tabulated by cancer type (colorectal or oral cancer) and study type (human study, animal study, or in vitro study).  3. Results  The selection process of the systematic search and numbers of included and excluded papers are presented in Figure 1. In total, 43 full text articles were assessed for eligibility, of which 17 [17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33] were excluded based on reasons given in Figure 1. At the end of the selection process, 26 articles were considered eligible for this review. Of these studies, a great majority (25/26) investigated colorectal cancer (colorectal cancer (CRC)); only one cell culture study related to oral cancer was identified, and no publications on other digestive tract cancers with a lingonberry or bilberry treatment were found. Anticancer effects of bilberry preparations on colorectal cancer (CRC) were studied in one human clinical study, 7 animal studies, and 13 cell culture studies.",dbabbc99-cde4-4aa3-bfd4-1cf62776a145
5,methods5," Lingonberry treatment was tested on colorectal cancer (CRC) models in one animal study and 8 cell culture studies. Study characteristics and main results from animal studies related to colorectal cancer (CRC) are presented in Table 1 and from cell culture studies in Table 2.  3.1. Human Study on Colorectal Cancer  To our knowledge, only one clinical pilot human study on bilberry or lingonberry and any digestive tract cancer has been published to date. Thomasset et al. treated colorectal cancer (CRC) patients with standardized bilberry anthocyanin rich extract, Mirtocyan (Indena S.p.A., Milan, Italy), for seven days before scheduled resection of primary tumor or liver metastasis [10]. Patients were randomized into three groups based on dosage (1.4/2.8/5.6 g/day), but no control group was included. Cellular proliferation and apoptotic index in the tumor tissue were compared to pre-intervention values.",127b6439-cb26-427c-97c8-28eda1a8a4e5
6,methods6," After the one-week treatment, tumor cellular proliferation decreased by 7% and apoptotic index increased from 3.6% to 5.3% in all groups combined.  3.2. Animal Studies on Colorectal Cancer  Animal experiments on colorectal cancer (CRC) are presented in Table 1. Animal models used were genetic ApcMin/+ mouse model [9,34,35], toxin-induced carcinogenesis in a rat or mouse [34,35], and a xenograft mouse model with subcutaneously inoculated human adenocarcinoma cells [36,37]. Treatments included freeze-dried lingonberry and bilberry [38], as well as anthocyanin-rich bilberry extracts [9,34,35,36,37,39]. All these treatments reduced number and/or size of intestinal tumors or pre-malignant lesions. However, bilberry extract alone did not have an effect on subcutaneous tumors in the mouse xenograft, but reduced tumor volume when given in combination with an immune checkpoint inhibitor drug [36,37].  antioxidants-10-00850-t001_Table 1 Table 1 Colorectal cancer: Main results of animal studies.",00bdf06b-7402-4edd-a350-bcd838e34e34
7,methods7,"  Publication	Berry	Population/Model	Endpoint	Method	Treatment	Effect	 Lala et al., 2006 [34] (a)	Bilberry	Fisher 344 male rats treated with azoxymethane n = 10 per group	1. Number and multiplicity of colonic aberrant crypt foci (aberrant crypt foci (ACF)) 2. Colonic cell proliferation	1. Staining and light microscopy of colons 2. Proliferating cell nuclear antigen immunohistochemistry	AIN-93 powdered diet supplemented with 3.85 g monomeric anthocyanin bilberry ARE/kg for 14 weeks	1. Significantly reduced number of total and large aberrant crypt foci (ACF) compared to control. Number of large aberrant crypt foci (ACF) was reduced by 70% 2. Significantly decreased colonic cellular proliferation by nearly 50%	 Cooke et al., 2006 [9] (b)	Bilberry	ApcMin/+ mice n = 16 per group	Number, location, and size of adenomas in gastrointestinal tract	Dissection after termination	Standard diet with ARE from bilberry (Mirtoselect): Group 1: 0.03%, Group 2: 0.1%, Group 3: 0.",cd294ff1-0d88-42d9-be5a-71a6f4757a08
8,methods8,"3% w/w of ARE in diet for 12 weeks	Significantly and dose-dependently reduced adenoma load compared to control (number reduced by 30% with highest dose). Reduced particularly the number of small adenomas dose-dependently in the small intestine	 Misikangas et al., 2007 [38] (b)	Bilberry and lingonberry	C57BL/6J Min/+ mice, male and female n = 10–12 in group	Sum of adenoma areas	Dissection after termination	10% w/w freeze-dried bilberry or lingonberry in High-fat AIN93 diet for 10 weeks	Both berries significantly inhibited number of adenomas by 15–30% compared to control. Bilberry did not reduce the size of adenomas, but lingonberry reduced adenoma burden by 60%	 Lippert et al.",257644d5-01d0-4ba4-ad6b-9d1e66ad16ac
9,methods9,", 2017 [35] (a)	Bilberry	Female Balb/c mice, Azoxymethane/dextran sodium sulphate mouse model n = 50 mice divided in 3 groups	Tumor growth and number	Colonoscopy at weeks 4 and 9, macroscopic and microscopic analysis after termination at week 9	Bilberry anthocyanin-rich extract 1% or 10% w/w of extract in diet for 10 weeks	Significantly smaller and less (almost no detectable tumors) in 10% ARE fed mice compared to controls or mice fed with 1% extract. Smaller and less tumors also with 1% extract compared to control, but difference not statistically significant	 Mudd et al., 2020 [39] (b)	Bilberry	ApcMin/+ mice treated with antibiotics and infected with enterotoxigenic Bacteroides fragilis n = 6 per group	Tumor number	Dissection after termination	Bilberry anthocyanin extract on average 8.6 mg/kg body weight by gavage 3 times a week for 4 weeks	Significantly reduced tumor number approx. 50% compared to control	 Wang et al.",f9859f6c-9e5f-4b3d-9622-0fc95f618149
