"Category","Advice","Source"
"Age range","46-55 years","pre-filled"
"Gender","Any","pre-filled"
"Lose/maintain/gain weight","Lose weight","pre-filled"
"Diet name","mediterranean diet","pre-filled"
"Health Pre-Condition","High cholesterol","pre-filled"
"Foods to increase consumption of","olive oil","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
"Foods to increase consumption of","vegetables","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
"Foods to increase consumption of","legumes","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
"Foods to increase consumption of","whole grains","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
"Foods to increase consumption of","fruits","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
"Foods to increase consumption of","nuts","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
"Foods to increase consumption of","fish","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to increase consumption of","seafood","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to increase consumption of","sofrito","['9', 'introduction9', ' Details of the patients’ dietary adherence, energy, nutrients, and food intake (baseline and after 1 year of follow-up) are shown in S1 Text and S1, S2, S3 and S4 Tables.  In the Mediterranean diet group, the main recommendations were abundant use of virgin olive oil for cooking and dressing (≥4 tablespoons/day; 10–15 g/tablespoon); daily consumption of at least 2 servings of vegetables (200 g/serving; at least one serving raw or as salad) and 3 or more units of fresh fruit (125–150 g/unit); weekly consumption of at least 3 servings of legumes (150 g cooked weight/serving), 3 or more servings of fish or seafood (especially oily fish; 100–150 g/serving), and fresh nuts and seeds (3 or more handfuls per week); cooking dishes seasoned with “sofrito” (a slow-cooked homemade sauce with tomato, garlic, onion, aromatic herbs, and olive oil) at least twice a week; a reduction in meat consumption,', 'c4c9d3d4-7573-467d-aac2-035bd1a21b08']"
"Foods to eat in moderation","poultry","['9', 'methods9', ' The two principal goals for intervention arms were a 5–10% weight loss and an increase in the level of adherence to the Mediterranean diet, i.e., a dietary pattern characterized by high consumption of olive oil, vegetables, legumes, whole grains, fruits and nuts, moderate consumption of poultry, fish and dairy products, low consumption of red meat products and sweets, and low-to-moderate consumption of wine as the main source of alcohol accompanying main meals (Supplemental Results Table S1) [22].', 'c93d98d2-7c8c-4f19-8d58-0533bd283ec8']"
